,horizon,prediction,observed,basin_id
623,4,4.2627954,4.43,CA_15013
624,5,4.320936,4.63,CA_15013
625,6,4.3420444,4.63,CA_15013
626,7,4.4104757,4.43,CA_15013
627,8,4.4616346,4.43,CA_15013
628,9,4.3389883,4.43,CA_15013
629,10,4.5363526,3.63,CA_15013
630,1,3.656607,3.4699998,CA_15013
631,2,3.7351832,4.0,CA_15013
632,3,4.067548,4.43,CA_15013
633,4,3.9650195,4.63,CA_15013
634,5,3.9570026,4.63,CA_15013
635,6,4.2054915,4.43,CA_15013
636,7,4.1474915,4.43,CA_15013
637,8,4.256042,4.43,CA_15013
638,9,4.179538,3.63,CA_15013
639,10,4.294276,3.8300002,CA_15013
640,1,3.34041,4.0,CA_15013
641,2,3.3298287,4.43,CA_15013
642,3,3.6758652,4.63,CA_15013
643,4,4.0054226,4.63,CA_15013
644,5,3.9159784,4.43,CA_15013
645,6,3.8978636,4.43,CA_15013
646,7,3.8918307,4.43,CA_15013
647,8,3.992128,3.63,CA_15013
648,9,3.8071356,3.8300002,CA_15013
649,10,3.9286377,3.63,CA_15013
650,1,3.531456,4.43,CA_15013
651,2,3.6536102,4.63,CA_15013
652,3,4.1066604,4.63,CA_15013
653,4,4.2873034,4.43,CA_15013
654,5,4.155836,4.43,CA_15013
655,6,4.321395,4.43,CA_15013
656,7,4.246036,3.63,CA_15013
657,8,4.427574,3.8300002,CA_15013
658,9,4.0028486,3.63,CA_15013
659,10,4.222149,3.63,CA_15013
660,1,3.4235868,4.63,CA_15013
661,2,3.421886,4.63,CA_15013
662,3,3.8469267,4.43,CA_15013
663,4,3.9075854,4.43,CA_15013
664,5,4.0483737,4.43,CA_15013
665,6,4.037796,3.63,CA_15013
666,7,3.9896755,3.8300002,CA_15013
667,8,4.1572967,3.63,CA_15013
668,9,4.0419025,3.63,CA_15013
669,10,4.1175394,3.4699998,CA_15013
670,1,4.227113,4.63,CA_15013
671,2,3.9236178,4.43,CA_15013
672,3,4.3579125,4.43,CA_15013
673,4,4.325041,4.43,CA_15013
674,5,4.515391,3.63,CA_15013
